1,Acholeplasma phage L2,L13696,2
2,Acholeplasma phage MV-L1,NC_001341,14
3,Achromobacter phage JWDelta,KF787094,1560
4,Achromobacter phage JWAlpha,NC_023556,1604
5,Acidianus spindle-shaped virus 1,FJ870917,556
6,Acidianus bottle-shaped virus,EF432053,367
7,Acidianus filamentous virus 1,AJ567472,167
8,Acidianus filamentous virus 2,AJ854042,215
9,Acidianus filamentous virus 9,EU545650,431
10,Acidithiobacillus phage AcaML1,JX507079,1002
11,Acinetobacter phage AP205,AF334111,127
12,Acinetobacter phage Petty,NC_023570,1613
13,Acinetobacter phage Presley,NC_023581,1620
14,Acinetobacter phage IME_AB3,NC_023590,1624
15,Acinetobacter bacteriophage AP22,NC_017984,921
16,Acinetobacter phage Bphi-B1251,NC_019541,1099
17,Acinetobacter phage Abp1,NC_021316,1328
18,Acinetobacter phage AB3,KC311669,1166
19,Acinetobacter phage AB1,HM368260,622
20,Acinetobacter phage phiAB1,HQ186308,646
21,Acinetobacter phage IME-AB2,JX976549,1039
22,Acinetobacter phage vB_AbaM_Acibel004,KJ473422,1737
23,Acinetobacter phage vB_AbaP_Acibel007,KJ473423,1738
24,Acinetobacter phage YMC-13-01-C62,KJ817802,1778
25,Acinetobacter phage ZZ1,NC_018087,1941
26,Acinetobacter phage Acj61,NC_014661,643
27,Acinetobacter phage Acj9,NC_014663,645
28,Acinetobacter phage 133,NC_015250,677
29,Acinetobacter phage phiAC-1,JX560521,1000
30,Haemophilus phage Aaphi23,AJ560763,154
31,Actinomyces phage Av-1,DQ123818,385
32,Aeromonas phage Aeh1,NC_005260,170
33,Aeromonas phage CC2,NC_019538,1097
34,Aeromonas phage pAh6-C,KJ858521,1834
35,Aeromonas phage phiO18P,NC_009542,410
36,Aeromonas phage PX29,NC_023688,1647
37,Aeromonas phage 25,NC_008208,328
38,Aeromonas phage phiAS4,NC_014635,641
39,Aeromonas phage phiAS5,NC_014636,642
40,Aeromonas phage vB_AsaM-56,NC_019527,1093
41,Aeromonas phage phiAS7,NC_019528,1094
42,Aeromonas phage Aes508,NC_019543,1100
43,Aeromonas phage 65,NC_015251,678
44,Aeromonas phage 31,NC_007022,222
45,Aeromonas phage 44RR2.8t,NC_005135,166
46,Aeromonas phage Aes012,JN377895,947
47,Aeromonas phage pIS4-A,JF974294,1350
48,Aggregatibacter phage S1249,NC_013597,563
49,Agrobacterium phage 7-7-1,JQ312117,905
50,Vibrio phage douglas 12A4,NC_021068,1284
51,Alteromonas phage vB_AmaP_AD45-P1,NC_021532,1359
52,Alteromonas phage vB_AmaP_AD45-P3,KF005318,1309
53,Alteromonas phage vB_AmaP_AD45-P4,KF005319,1310
54,Alteromonas phage vB_AmaP_AD45-P2,KF005320,1311
55,Anabaena phage A-4L,NC_024358,1798
56,Arthrobacter phage vB_ArtM-ArV1,KM879463,1916
57,Arthrobacter phage vB_ArS-ArV2,KF692088,1723
58,Escherichia phage vB_EcoM_JS09,KF582788,1928
59,Azospirillum phage Cd,NC_010355,421
60,Bacillus phage Troll,KF208639,1516
61,Bacillus phage vB_BanS-Tsamsa,NC_023007,1555
62,Bacillus phage Cherry,NC_007457,290
63,Bacillus phage WBeta,NC_007734,301
64,Bacillus phage Fah,NC_007814,303
65,Bacillus phage AP50,NC_011523,499
66,Bacillus phage Wip1,NC_022094,1469
67,Bacillus phage Gamma,NC_007458,289
68,Bacillus phage B4,NC_018863,1035
69,Bacillus phage Bcp1,NC_024137,1751
70,Bacillus prophage phBC6A51,NC_004820,155
71,Bacillus prophage phBC6A52,NC_004821,156
72,Bacillus phage PBC1,NC_017976,924
73,Bacillus phage BPS13,NC_018857,1031
74,Bacillus phage BCP78,NC_018860,1033
75,Bacillus phage BCD7,NC_019515,1087
76,Bacillus phage W.Ph.,NC_016563,835
77,Bacillus phage Bastille,NC_018856,1030
78,Bacillus cereus bacteriophage vB_BceM_Bc431v3,NC_020873,1274
79,Bacillus phage Gamma isolate d'Herelle,DQ289556,298
80,Bacillus phage 250,GU229986,591
81,Bacillus phage B5S,JN797796,827
82,Bacillus phage BCU4,JN797798,828
83,Bacillus phage Basilisk,KC595511,1824
84,Bacillus phage JL,KC595512,1825
85,Bacillus phage Shanette,KC595513,1826
86,Bacillus phage CP-51,KF554508,1820
87,Bacillus phage vB_BceM-Bc431v3,JX094431,988
88,Bacillus phage Staley,NC_022767,1565
89,Bacillus phage Pony,NC_022770,1567
90,Bacillus phage Slash,NC_022774,1725
91,Bacillus phage Page,NC_022764,1574
92,Bacillus phage poppyseed,KF669657,1497
