1,Acholeplasma phage L2,Acholeplasma laidlawii
2,Acholeplasma phage MV-L1,Acholeplasma laidlawii
3,Achromobacter phage JWDelta,Achromobacter xylosoxidans
4,Achromobacter phage JWAlpha,Achromobacter xylosoxidans
5,Acidianus spindle-shaped virus 1,Acidianus brierleyi
6,Acidianus bottle-shaped virus,Acidianus convivator
7,Acidianus filamentous virus 1,Acidianus hospitalis
8,Acidianus filamentous virus 2,Acidianus pozzuoliensis
9,Acidianus filamentous virus 9,Acidianus uzoniensis
10,Acidithiobacillus phage AcaML1,Acidithiobacillus caldus
11,Acinetobacter phage AP205,Acinetobacter
12,Acinetobacter phage Petty,Acinetobacter baumannii
13,Acinetobacter phage Presley,Acinetobacter baumannii
14,Acinetobacter phage IME_AB3,Acinetobacter baumannii
15,Acinetobacter bacteriophage AP22,Acinetobacter baumannii
16,Acinetobacter phage Bphi-B1251,Acinetobacter baumannii
17,Acinetobacter phage Abp1,Acinetobacter baumannii
18,Acinetobacter phage AB3,Acinetobacter baumannii
19,Acinetobacter phage AB1,Acinetobacter baumannii
20,Acinetobacter phage phiAB1,Acinetobacter baumannii
21,Acinetobacter phage IME-AB2,Acinetobacter baumannii
22,Acinetobacter phage vB_AbaM_Acibel004,Acinetobacter baumannii
23,Acinetobacter phage vB_AbaP_Acibel007,Acinetobacter baumannii
24,Acinetobacter phage YMC-13-01-C62,Acinetobacter baumannii
25,Acinetobacter phage ZZ1,Acinetobacter baumannii
26,Acinetobacter phage Acj61,Acinetobacter johnsonii
27,Acinetobacter phage Acj9,Acinetobacter johnsonii
28,Acinetobacter phage 133,Acinetobacter johnsonii
29,Acinetobacter phage phiAC-1,Acinetobacter soli
30,Haemophilus phage Aaphi23,Actinobacillus actinomycetemcomitans
31,Actinomyces phage Av-1,Actinomyces naeslundii
32,Aeromonas phage Aeh1,Aeromonas hydrophila
33,Aeromonas phage CC2,Aeromonas hydrophila
34,Aeromonas phage pAh6-C,Aeromonas hydrophila
35,Aeromonas phage phiO18P,Aeromonas media
36,Aeromonas phage PX29,Aeromonas salmonicida
37,Aeromonas phage 25,Aeromonas salmonicida
38,Aeromonas phage phiAS4,Aeromonas salmonicida
39,Aeromonas phage phiAS5,Aeromonas salmonicida
40,Aeromonas phage vB_AsaM-56,Aeromonas salmonicida
41,Aeromonas phage phiAS7,Aeromonas salmonicida
42,Aeromonas phage Aes508,Aeromonas salmonicida
43,Aeromonas phage 65,Aeromonas salmonicida
44,Aeromonas phage 31,Aeromonas salmonicida
